metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
apache.connections,,connections,connections,"Connections",line,,go.d,apache
apache.conns_async,,"keepalive, closing, writing",connections,"Active Connections",stacked,,go.d,apache
apache.workers,,"idle, busy",workers,"Workers Threads",stacked,,go.d,apache
apache.scoreboard,,"waiting, starting, reading, sending, keepalive, dns_lookup, closing, logging, finishing, idle_cleanup, open",connections,"Scoreboard",line,,go.d,apache
apache.requests,,requests,requests/s,"Requests",line,,go.d,apache
apache.net,,sent,kilobit/s,"Bandwidth",area,,go.d,apache
apache.reqpersec,,requests,requests/s,"Lifetime Average Number Of Requests Per Second",area,,go.d,apache
apache.bytespersec,,served,KiB/s,"Lifetime Average Number Of Bytes Served Per Second",area,,go.d,apache
apache.bytesperreq,,size,KiB,"Lifetime Average Response Size",area,,go.d,apache
apache.uptime,,uptime,seconds,"Uptime",line,,go.d,apache
