metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
elasticsearch.node_indices_indexing,node,index,operations/s,"Indexing Operations",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_indexing_current,node,index,operations,"Indexing Operations Current",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_indexing_time,node,index,milliseconds,"Time Spent On Indexing Operations",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_search,node,"queries, fetches",operations/s,"Search Operations",stacked,,go.d.plugin,elasticsearch
elasticsearch.node_indices_search_current,node,"queries, fetches",operations,"Search Operations Current",stacked,,go.d.plugin,elasticsearch
elasticsearch.node_indices_search_time,node,"queries, fetches",milliseconds,"node_indices_search_time",stacked,,go.d.plugin,elasticsearch
elasticsearch.node_indices_refresh,node,refresh,operations/s,"Refresh Operations",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_refresh_time,node,refresh,milliseconds,"Time Spent On Refresh Operations",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_flush,node,flush,operations/s,"Flush Operations",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_flush_time,node,flush,milliseconds,"Time Spent On Flush Operations",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_fielddata_memory_usage,node,used,bytes,"Fielddata Cache Memory Usage",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_fielddata_evictions,node,evictions,operations/s,"Fielddata Evictions",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_segments_count,node,segments,segments,"Segments Count",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_segments_memory_usage_total,node,used,bytes,"Segments Memory Usage Total",line,,go.d.plugin,elasticsearch
elasticsearch.node_indices_segments_memory_usage,node,"terms, stored_fields, term_vectors, norms, points, doc_values, index_writer, version_map, fixed_bit_set",bytes,"Segments Memory Usage",stacked,,go.d.plugin,elasticsearch
elasticsearch.node_indices_translog_operations,node,"total, uncommitted",operations,"Translog Operations",area,,go.d.plugin,elasticsearch
elasticsearch.node_indices_translog_size,node,"total, uncommitted",bytes,"Translog Size",area,,go.d.plugin,elasticsearch
elasticsearch.node_file_descriptors,node,open,fd,"Process File Descriptors",line,,go.d.plugin,elasticsearch
elasticsearch.node_jvm_heap,node,inuse,percentage,"JVM Heap Percentage Currently in Use",area,,go.d.plugin,elasticsearch
