metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
k8s_kubelet.apiserver_audit_requests_rejected,,rejected,requests/s,"API Server Audit Requests",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.apiserver_storage_data_key_generation_failures,,failures,events/s,"API Server Failed Data Encryption Key(DEK) Generation Operations",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.apiserver_storage_data_key_generation_latencies,,"5_µs, 10_µs, 20_µs, 40_µs, 80_µs, 160_µs, 320_µs, 640_µs, 1280_µs, 2560_µs, 5120_µs, 10240_µs, 20480_µs, 40960_µs, +Inf",observes/s,"API Server Latencies Of Data Encryption Key(DEK) Generation Operations",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.apiserver_storage_data_key_generation_latencies_percent,,"5_µs, 10_µs, 20_µs, 40_µs, 80_µs, 160_µs, 320_µs, 640_µs, 1280_µs, 2560_µs, 5120_µs, 10240_µs, 20480_µs, 40960_µs, +Inf",percentage,"API Server Latencies Of Data Encryption Key(DEK) Generation Operations Percentage",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.apiserver_storage_envelope_transformation_cache_misses,,cache misses,events/s,"API Server Storage Envelope Transformation Cache Misses",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_containers_running,,total,running_containers,"Number Of Containers Currently Running",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_pods_running,,total,running_pods,"Number Of Pods Currently Running",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_pods_log_filesystem_used_bytes,,a dimension per namespace and pod,B,"Bytes Used By The Pod Logs On The Filesystem",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_runtime_operations,,a dimension per operation type,operations/s,"Runtime Operations By Type",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_runtime_operations_errors,,a dimension per operation type,errors/s,"Runtime Operations Errors By Type",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_docker_operations,,a dimension per operation type,operations/s,"Docker Operations By Type",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_docker_operations_errors,,a dimension per operation type,errors/s,"Docker Operations Errors By Type",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_node_config_error,,experiencing_error,bool,"Node Configuration-Related Error",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_pleg_relist_interval_microseconds,,"0.5, 0.9, 0.99",microseconds,"PLEG Relisting Interval Summary",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_pleg_relist_latency_microseconds,,"0.5, 0.9, 0.99",microseconds,"PLEG Relisting Latency Summary",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.kubelet_token_requests,,"total, failed",token_requests/s,"Token() Requests To The Alternate Token Source",line,,go.d.plugin,k8s_kubelet
k8s_kubelet.rest_client_requests_by_code,,a dimension per HTTP status code,requests/s,"HTTP Requests By Status Code",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.rest_client_requests_by_method,,a dimension per HTTP method,requests/s,"HTTP Requests By Status Method",stacked,,go.d.plugin,k8s_kubelet
k8s_kubelet.volume_manager_total_volumes,volume manager,"actual, desired",state,"Volume Manager State Of The World",line,,go.d.plugin,k8s_kubelet
