metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
k8s_state.node_allocatable_cpu_requests_utilization,node,requests,%,"CPU requests utilization",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_cpu_requests_used,node,requests,millicpu,"CPU requests used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_cpu_limits_utilization,node,limits,%,"CPU limits utilization",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_cpu_limits_used,node,limits,millicpu,"CPU limits used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_mem_requests_utilization,node,requests,%,"Memory requests utilization",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_mem_requests_used,node,requests,bytes,"Memory requests used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_mem_limits_utilization,node,limits,%,"Memory limits utilization",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_mem_limits_used,node,limits,bytes,"Memory limits used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_pods_utilization,node,allocated,%,"Pods resource utilization",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_allocatable_pods_usage,node,"available, allocated",pods,"Pods resource usage",stacked,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_condition,node,a dimension per condition,status,"Condition status",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_schedulability,node,"schedulable, unschedulable",state,"Schedulability",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_pods_readiness,node,ready,%,"Pods readiness",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_pods_readiness_state,node,"ready, unready",pods,"Pods readiness state",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_pods_condition,node,"pod_ready, pod_scheduled, pod_initialized, containers_ready",pods,"Pods condition",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_pods_phase,node,"running, failed, succeeded, pending",pods,"Pods phase",stacked,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_containers,node,"containers, init_containers",containers,"Containers",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_containers_state,node,"running, waiting, terminated",containers,"Containers state",stacked,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_init_containers_state,node,"running, waiting, terminated",containers,"Init containers state",stacked,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.node_age,node,age,seconds,"Age",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name",go.d.plugin,k8s_state
k8s_state.pod_cpu_requests_used,pod,requests,millicpu,"CPU requests used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_cpu_limits_used,pod,limits,millicpu,"CPU limits used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_mem_requests_used,pod,requests,bytes,"Memory requests used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_mem_limits_used,pod,limits,bytes,"Memory limits used",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_condition,pod,"pod_ready, pod_scheduled, pod_initialized, containers_ready",state,"Condition",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_phase,pod,"running, failed, succeeded, pending",state,"Phase",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_age,pod,age,seconds,"Age",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_containers,pod,"containers, init_containers",containers,"Containers",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_containers_state,pod,"running, waiting, terminated",containers,"Containers state",stacked,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_init_containers_state,pod,"running, waiting, terminated",containers,"Init containers state",stacked,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class",go.d.plugin,k8s_state
k8s_state.pod_container_readiness_state,container,ready,state,"Readiness state",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class, k8s_container_id, k8s_container_name",go.d.plugin,k8s_state
k8s_state.pod_container_restarts,container,restarts,restarts,"Restarts",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class, k8s_container_id, k8s_container_name",go.d.plugin,k8s_state
k8s_state.pod_container_state,container,"running, waiting, terminated",state,"Container state",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class, k8s_container_id, k8s_container_name",go.d.plugin,k8s_state
k8s_state.pod_container_waiting_state_reason,container,a dimension per reason,state,"Container waiting state reason",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class, k8s_container_id, k8s_container_name",go.d.plugin,k8s_state
k8s_state.pod_container_terminated_state_reason,container,a dimension per reason,state,"Container terminated state reason",line,"k8s_kind, k8s_cluster_id, k8s_cluster_name, k8s_node_name, k8s_namespace, k8s_controller_kind, k8s_controller_name, k8s_pod_uid, k8s_pod_name, k8s_qos_class, k8s_container_id, k8s_container_name",go.d.plugin,k8s_state
