metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
mysql.net,,"in, out",kilobits/s,"Bandwidth",area,,go.d.plugin,mysql
mysql.queries,,"queries, questions, slow_queries",queries/s,"Queries",line,,go.d.plugin,mysql
mysql.queries_type,,"select, delete, update, insert, replace",queries/s,"Queries By Type",stacked,,go.d.plugin,mysql
mysql.handlers,,"commit, delete, prepare, read_first, read_key, read_next, read_prev, read_rnd, read_rnd_next, rollback, savepoint, savepointrollback, update, write",handlers/s,"Handlers",line,,go.d.plugin,mysql
mysql.table_open_cache_overflows,,open_cache,overflows/s,"Table open cache overflows",line,,go.d.plugin,mysql
mysql.table_locks,,"immediate, waited",locks/s,"Table Locks",line,,go.d.plugin,mysql
mysql.join_issues,,"full_join, full_range_join, range, range_check, scan",joins/s,"Table Select Join Issues",line,,go.d.plugin,mysql
mysql.sort_issues,,"merge_passes, range, scan",issues/s,"Table Sort Issues",line,,go.d.plugin,mysql
mysql.tmp,,"disk_tables, files, tables",events/s,"Tmp Operations",line,,go.d.plugin,mysql
mysql.connections,,"all, aborted",connections/s,"Connections",line,,go.d.plugin,mysql
mysql.connections_active,,"active, limit, max_active",connections,"Active Connections",line,,go.d.plugin,mysql
mysql.threads,,"connected, cached, running",threads,"Threads",line,,go.d.plugin,mysql
mysql.threads_created,,created,threads/s,"Threads Creation Rate",line,,go.d.plugin,mysql
mysql.thread_cache_misses,,misses,misses,"Threads Cache Misses",line,,go.d.plugin,mysql
mysql.innodb_io,,"read, write",KiB/s,"InnoDB I/O Bandwidth",line,,go.d.plugin,mysql
mysql.innodb_io_ops,,"reads, writes, fsyncs",operations/s,"InnoDB I/O Operations",line,,go.d.plugin,mysql
mysql.innodb_io_pending_ops,,"reads, writes, fsyncs",operations,"InnoDB Pending I/O Operations",line,,go.d.plugin,mysql
mysql.innodb_log,,"waits, write_requests, writes",operations/s,"InnoDB Log Operations",line,,go.d.plugin,mysql
mysql.innodb_cur_row_lock,,current waits,operations,"InnoDB Current Row Locks",line,,go.d.plugin,mysql
mysql.innodb_rows,,"inserted, read, updated, deleted",operations/s,"InnoDB Row Operations",area,,go.d.plugin,mysql
mysql.innodb_buffer_pool_pages,,"data, dirty, free, misc, total",pages,"InnoDB Buffer Pool Pages",line,,go.d.plugin,mysql
mysql.innodb_buffer_pool_pages_flushed,,flush_pages,requests/s,"InnoDB Buffer Pool Flush Pages Requests",line,,go.d.plugin,mysql
mysql.innodb_buffer_pool_bytes,,"data, dirty",MiB,"InnoDB Buffer Pool Bytes",line,,go.d.plugin,mysql
mysql.innodb_buffer_pool_read_ahead,,"all, evicted",pages/s,"InnoDB Buffer Pool Read Pages",line,,go.d.plugin,mysql
mysql.innodb_buffer_pool_read_ahead_rnd,,read-ahead,operations/s,"InnoDB Buffer Pool Random Read-Aheads",line,,go.d.plugin,mysql
