   datname    | active_query_running_time
--------------+---------------------------
 postgres     |                  0.025109
 postgres     |                  0.022286
 postgres     |                  0.021087
 postgres     |                  0.019723
 postgres     |                  0.017702
 postgres     |                  0.016187
 postgres     |                  0.013991
 postgres     |                  0.000000
 postgres     |                  0.012081
 postgres     |                  0.010617
 myproduction |                  0.505912
 postgres     |                  0.008393
 postgres     |                  0.001040
 postgres     |                  0.000178
 postgres     |                  0.506490
 postgres     |                  0.025923
