metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
web_log.requests,,requests,requests/s,"Total Requests",line,,go.d.plugin,web_log
web_log.excluded_requests,,unmatched,requests/s,"Excluded Requests",stacked,,go.d.plugin,web_log
web_log.type_requests,,"success, bad, redirect, error",requests/s,"Requests By Type",stacked,,go.d.plugin,web_log
web_log.status_code_class_responses,,"1xx, 2xx, 3xx, 4xx, 5xx",responses/s,"Responses By Status Code Class",stacked,,go.d.plugin,web_log
web_log.status_code_class_1xx_responses,,a dimension per 1xx code,responses/s,"Informational Responses By Status Code",stacked,,go.d.plugin,web_log
web_log.status_code_class_2xx_responses,,a dimension per 2xx code,responses/s,"Successful Responses By Status Code",stacked,,go.d.plugin,web_log
web_log.status_code_class_3xx_responses,,a dimension per 3xx code,responses/s,"Redirects Responses By Status Code",stacked,,go.d.plugin,web_log
web_log.status_code_class_4xx_responses,,a dimension per 4xx code,responses/s,"Client Errors Responses By Status Code",stacked,,go.d.plugin,web_log
web_log.status_code_class_5xx_responses,,a dimension per 5xx code,responses/s,"Server Errors Responses By Status Code",stacked,,go.d.plugin,web_log
web_log.bandwidth,,"received, sent",kilobits/s,"Bandwidth",area,,go.d.plugin,web_log
web_log.request_processing_time,,"min, max, avg",milliseconds,"Request Processing Time",line,,go.d.plugin,web_log
web_log.requests_processing_time_histogram,,a dimension per bucket,requests/s,"Requests Processing Time Histogram",line,,go.d.plugin,web_log
web_log.upstream_response_time,,"min, max, avg",milliseconds,"Upstream Response Time",line,,go.d.plugin,web_log
web_log.upstream_responses_time_histogram,,a dimension per bucket,requests/s,"Upstream Responses Time Histogram",line,,go.d.plugin,web_log
web_log.current_poll_uniq_clients,,"ipv4, ipv6",clients,"Current Poll Unique Clients",stacked,,go.d.plugin,web_log
web_log.vhost_requests,,a dimension per vhost,requests/s,"Requests By Vhost",stacked,,go.d.plugin,web_log
web_log.port_requests,,a dimension per port,requests/s,"Requests By Port",stacked,,go.d.plugin,web_log
web_log.scheme_requests,,"http, https",requests/s,"Requests By Scheme",stacked,,go.d.plugin,web_log
web_log.http_method_requests,,a dimension per HTTP method,requests/s,"Requests By HTTP Method",stacked,,go.d.plugin,web_log
web_log.http_version_requests,,a dimension per HTTP version,requests/s,"Requests By HTTP Version",stacked,,go.d.plugin,web_log
web_log.ip_proto_requests,,"ipv4, ipv6",requests/s,"Requests By IP Protocol",stacked,,go.d.plugin,web_log
web_log.ssl_proto_requests,,a dimension per SSL protocol,requests/s,"Requests By SSL Connection Protocol",stacked,,go.d.plugin,web_log
web_log.ssl_cipher_suite_requests,,a dimension per SSL cipher suite,requests/s,"Requests By SSL Connection Cipher Suite",stacked,,go.d.plugin,web_log
web_log.url_pattern_requests,,a dimension per URL pattern,requests/s,"URL Field Requests By Pattern",stacked,,go.d.plugin,web_log
web_log.custom_field_pattern_requests,,a dimension per custom field pattern,requests/s,"Custom Field Requests By Pattern",stacked,,go.d.plugin,web_log
web_log.custom_time_field_summary,custom time field,"min, max, avg",milliseconds,"Custom Time Field Summary",line,,go.d.plugin,web_log
web_log.custom_time_field_histogram,custom time field,a dimension per bucket,observations,"Custom Time Field Histogram",line,,go.d.plugin,web_log
web_log.url_pattern_status_code_responses,URL pattern,a dimension per pattern,responses/s,"Responses By Status Code",line,,go.d.plugin,web_log
web_log.url_pattern_http_method_requests,URL pattern,a dimension per HTTP method,requests/s,"Requests By HTTP Method",line,,go.d.plugin,web_log
web_log.url_pattern_bandwidth,URL pattern,"received, sent",kilobits/s,"Bandwidth",area,,go.d.plugin,web_log
web_log.url_pattern_request_processing_time,URL pattern,"min, max, avg",milliseconds,"Request Processing Time",line,,go.d.plugin,web_log
