metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
windows.cpu_utilization_total,,"dpc, user, privileged, interrupt",percentage,"Total CPU Utilization (all cores)",stacked,,go.d.plugin,windows
windows.cpu_core_utilization,cpu core,"dpc, user, privileged, interrupt",percentage,"Core CPU Utilization",stacked,core,go.d.plugin,windows
windows.cpu_core_interrupts,cpu core,interrupts,interrupts/s,"Received and Serviced Hardware Interrupts",line,core,go.d.plugin,windows
windows.cpu_core_dpcs,cpu core,dpcs,dpcs/s,"Received and Serviced Deferred Procedure Calls (DPC)",line,core,go.d.plugin,windows
windows.cpu_core_cstate,cpu core,"c1, c2, c3",percentage,"Core Time Spent in Low-Power Idle State",stacked,core,go.d.plugin,windows
windows.memory_utilization,,"available, used",bytes,"Memory Utilization",stacked,,go.d.plugin,windows
windows.memory_page_faults,,page_faults,events/s,"Memory Page Faults",line,,go.d.plugin,windows
windows.memory_swap_utilization,,"available, used",bytes,"Swap Utilization",stacked,,go.d.plugin,windows
windows.memory_swap_operations,,"read, write",operations/s,"Swap Operations",area,,go.d.plugin,windows
windows.memory_swap_pages,,"read, written",pages/s,"Swap Pages",line,,go.d.plugin,windows
windows.memory_cached,,cached,KiB,"Cached",area,,go.d.plugin,windows
windows.memory_cache_faults,,cache_faults,events/s,"Cache Faults",line,,go.d.plugin,windows
windows.memory_system_pool,,"paged, non-paged",bytes,"System Memory Pool",area,,go.d.plugin,windows
windows.logical_disk_utilization,logical disk,"free, used",bytes,"Space usage",stacked,disk,go.d.plugin,windows
windows.logical_disk_bandwidth,logical disk,"read, write",bytes/s,"Bandwidth",area,disk,go.d.plugin,windows
windows.logical_disk_operations,logical disk,"reads, writes",operations/s,"Operations",line,disk,go.d.plugin,windows
windows.logical_disk_latency,logical disk,"read, write",seconds,"Average Read/Write Latency",line,disk,go.d.plugin,windows
windows.net_nic_bandwidth,network device,"received, sent",kilobits/s,"Bandwidth",area,nic,go.d.plugin,windows
windows.net_nic_packets,network device,"received, sent",packets/s,"Packets",line,nic,go.d.plugin,windows
windows.net_nic_errors,network device,"inbound, outbound",errors/s,"Errors",line,nic,go.d.plugin,windows
windows.net_nic_discarded,network device,"inbound, outbound",discards/s,"Discards",line,nic,go.d.plugin,windows
windows.tcp_conns_established,,"ipv4, ipv6",connections,"TCP established connections",line,,go.d.plugin,windows
